city, pop_2015, pop_2010, lat, lon
Los Angeles,3,971,883,3,792,621,34.0194,-118.4108
Chicago,2,720,546,2,695,598,41.8376,-87.6818
Houston,2,296,224,2,100,263,29.7805,-95.3863
Philadelphia,1,567,442,1,526,006,40.0094,-75.1333
Phoenix,1,563,025,1,445,632,33.5722,-112.0880
San Antonio,1,469,845,1,327,407,29.4724,-98.5251
San Diego,1,394,928,1,307,402,32.8153,-117.1350
Dallas,1,300,092,1,197,816,32.7757,-96.7967
San Jose,1,026,908,945,942,37.2969,-121.8193
Austin,931,830,790,390,30.3072,-97.7560
Jacksonville,868,031,821,784,30.3370,-81.6613
San Francisco,864,816,805,235,37.7751,-122.4193
Indianapolis,853,173,820,445,39.7767,-86.1459
Columbus,850,106,787,033,39.9848,-82.9850
Fort Worth,833,319,741,206,32.7795,-97.3463
Charlotte,827,097,731,424,35.2087,-80.8307
Seattle,684,451,608,660,47.6205,-122.3509
Denver,682,545,600,158,39.7618,-104.8806
El Paso,681,124,649,121,31.8484,-106.4270
Detroit,677,116,713,777,42.3830,-83.1022
Washington,672,228,601,723,38.9041,-77.0171
Boston,667,137,617,594,42.3320,-71.0202
Memphis,655,770,646,889,35.1035,-89.9785
Nashville,654,610,601,222,36.1718,-86.7850
Portland,632,309,583,776,45.5370,-122.6500
Oklahoma City,631,346,579,999,35.4671,-97.5137
Las Vegas,623,747,583,756,36.2277,-115.2640
Baltimore,621,849,620,961,39.3002,-76.6105
Louisville,615,366,597,337,38.1781,-85.6667
Milwaukee,600,155,594,833,43.0633,-87.9667
Albuquerque,559,121,545,852,35.1056,-106.6474
Tucson,531,641,520,116,32.1543,-110.8711
Fresno,520,052,494,665,36.7827,-119.7945
Sacramento,490,712,466,488,38.5666,-121.4686
Kansas City,475,378,459,787,39.1252,-94.5511
Long Beach,474,140,462,257,33.8091,-118.1553
Mesa,471,825,439,041,33.4019,-111.7174
Atlanta,463,878,420,003,33.7629,-84.4227
Colorado Springs,456,568,416,427,38.8673,-104.7607
Virginia Beach,452,745,437,994,36.7793,-76.0240
Raleigh,451,066,403,892,35.8302,-78.6414
Omaha,443,885,408,958,41.2647,-96.0419
Miami,441,003,399,457,25.7752,-80.2086
Oakland,419,267,390,724,37.7699,-122.2256
Minneapolis,410,939,382,578,44.9633,-93.2683
Tulsa,403,505,391,906,36.1279,-95.9023
Wichita,389,965,382,368,37.6907,-97.3427
New Orleans,389,617,343,829,30.0686,-89.9390
Arlington,388,125,365,438,32.7007,-97.1247
Cleveland,388,072,396,815,41.4781,-81.6795
Bakersfield,373,640,347,483,35.3212,-119.0183
Tampa,369,075,335,709,27.9701,-82.4797
Aurora,359,407,325,078,39.7082,-104.8235
Honolulu,352,769,337,256,21.3259,-157.8453
Anaheim,350,742,336,265,33.8555,-117.7601
Santa Ana,335,400,324,528,33.7365,-117.8826
Corpus Christi,324,074,305,215,27.7543,-97.1734
Riverside,322,424,303,871,33.9381,-117.3932
St. Louis,315,685,319,294,38.6357,-90.2446
Lexington,314,488,295,803,38.0402,-84.4584
Stockton,305,658,291,707,37.9763,-121.3133
Pittsburgh,304,391,305,704,40.4398,-79.9766
Saint Paul,300,851,285,068,44.9489,-93.1039
Anchorage,298,695,291,826,61.2176,-149.8953
Cincinnati,298,550,296,943,39.1399,-84.5064
Henderson,285,667,257,729,36.0122,-115.0375
Greensboro,285,342,269,666,36.0965,-79.8271
Plano,283,558,259,841,33.0508,-96.7479
Newark,281,944,277,140,40.7242,-74.1726
Toledo,279,789,287,208,41.6641,-83.5819
Lincoln,277,348,258,379,40.8090,-96.6804
Orlando,270,934,238,300,28.4159,-81.2988
Chula Vista,265,757,243,916,32.6277,-117.0152
Jersey City,264,290,247,597,40.7114,-74.0648
Chandler,260,828,236,123,33.2829,-111.8549
Fort Wayne,260,326,253,691,41.0882,-85.1439
Buffalo,258,071,261,310,42.8925,-78.8597
Durham,257,636,228,330,35.9810,-78.9056
St. Petersburg,257,083,244,769,27.7620,-82.6441
Irvine,256,927,212,375,33.6784,-117.7713
Laredo,255,473,236,091,27.5477,-99.4869
Lubbock,249,042,229,573,33.5665,-101.8867
Madison,248,951,233,209,43.0878,-89.4301
Gilbert,247,542,208,453,33.3102,-111.7422
Norfolk,246,393,242,803,36.9230,-76.2446
Reno,241,445,225,221,39.4745,-119.7765
WinstonSalem,241,218,229,617,36.1033,-80.2606
Glendale,240,126,226,721,33.5331,-112.1899
Hialeah,237,069,224,669,25.8699,-80.3029
Garland,236,897,226,876,32.9098,-96.6304
Scottsdale,236,839,217,385,33.6687,-111.8237
Irving,236,607,216,290,32.8577,-96.9700
Chesapeake,235,429,222,209,36.6794,-76.3018
North Las Vegas,234,807,216,961,36.2830,-115.0893
Fremont,232,206,214,089,37.4944,-121.9411
Baton Rouge,228,590,229,493,30.4485,-91.1259
Richmond,220,289,204,214,37.5314,-77.4760
Boise,218,281,205,671,43.5985,-116.2311
San Bernardino,216,108,209,924,34.1393,-117.2953
Spokane,213,272,208,916,47.6736,-117.4166
Birmingham,212,461,212,237,33.5274,-86.7990
Modesto,211,266,201,165,37.6609,-120.9891
Des Moines,210,330,203,433,41.5739,-93.6167
Rochester,209,802,210,565,43.1699,-77.6169
Tacoma,207,948,198,397,47.2522,-122.4598
Fontana,207,460,196,069,34.1088,-117.4627
Oxnard,207,254,197,899,34.2023,-119.2046
Moreno Valley,204,198,193,365,33.9233,-117.2057
Fayetteville,201,963,200,564,35.0851,-78.9803
Huntington Beach,201,899,189,992,33.6906,-118.0093
Yonkers,201,116,195,976,40.9459,-73.8674
Glendale,201,020,191,719,34.1814,-118.2458
Aurora,200,661,197,899,41.7635,-88.2901
Montgomery,200,602,205,764,32.3463,-86.2686
Columbus,200,579,189,885,32.5102,-84.8749
Amarillo,198,645,190,695,35.1978,-101.8287
Little Rock,197,992,193,524,34.7254,-92.3586
Akron,197,542,199,110,41.0805,-81.5214
Shreveport,197,204,199,311,32.4670,-93.7927
Augusta,197,182,195,844,33.3655,-82.0734
Grand Rapids,195,097,188,040,42.9612,-85.6556
Mobile,194,288,195,111,30.6684,-88.1002
